Location,Count
Trier/Luxembourg/Munich,2
"UC, Soxpark",1
UK,1
United States,3
"Urbana, IL",1
"Vancouver, BC",1
"Virginia, USA",1
"Walpole, MA",1
"Waltham, MA",2
"Waltham, Ma",1
Wandering,1
"Washington, D.C",1
"Washington, DC",1
"Watertown, MA",2
"Watertown, MA, USA",1
"Wellesley, MA",1
"West Boylston, MA",1
West Coast of USA and Canada,1
"West Palm Beach, FL",1
WestWood,1
"Weston, MA",3
Westwood,1
"Westwood, MA",1
"Weymouth, MA",1
"Whitman, MA",1
"Woburn, MA",3
"Wrentham, MA",1
"X, Madrid.",1
YNK,1
"Yonkers, NY",1
[BHM] / MIA / DXB / AMM,1
boston,7
"boston, ma",4
btv ❅,1
"cambridge, ma.",2
everywhere and nowhere,1
gentrified brooklyn,1
heck,1
illa illa,1
im going to be where i am at,1
in a fruit farm ,1
in the vicinity of Betelguse,1
kuwait,1
"lawrence, Ma",2
marta,1
massachusetts,1
"milan, Italy",1
"newton, ma",1
pristin svt nct,1
"scituate, massachusetts",1
sleeping sagittarius,1
suburb of Boston,1
"svt, mx, bts, victon, ggs",1
v a ,1
wherever God leads me,1
z f r l n r v z,1
|-/,1
⬆️,1
